jumlah_dosen,univ_name
0,Sekolah Tinggi Seni Indonesia Padang Panjang
0,Sekolah Tinggi Seni Indonesia Bandung
95,Politeknik Manufaktur Bandung
351,Politeknik Negeri Jakarta
325,Politeknik Negeri Medan
497,Politeknik Negeri Bandung
331,Politeknik Negeri Semarang
370,Politeknik Negeri Sriwijaya
156,Politeknik Negeri Lampung
246,Politeknik Negeri Ambon
301,Politeknik Negeri Padang
346,Politeknik Negeri Bali
255,Politeknik Negeri Pontianak
293,Politeknik Negeri Ujung Pandang
299,Politeknik Negeri Manado
141,Politeknik Perkapalan Negeri Surabaya
191,Politeknik Negeri Banjarmasin
306,Politeknik Negeri Lhokseumawe
177,Politeknik Negeri Kupang
159,Politeknik Elektronika Negeri Surabaya
215,Politeknik Negeri Jember
157,Politeknik Pertanian Negeri Pangkajene Kepulauan
153,Politeknik Pertanian Negeri Kupang
85,Politeknik Perikanan Negeri Tual
400,Politeknik Negeri Malang
90,Politeknik Pertanian Negeri Samarinda
154,Politeknik Pertanian Negeri Payakumbuh
252,Politeknik Negeri Samarinda
83,Politeknik Negeri Media Kreatif
51,Politeknik Manufaktur Negeri Bangka Belitung
101,Politeknik Negeri Batam
62,Politeknik Negeri Nusa Utara
111,Politeknik Negeri Bengkalis
55,Politeknik Negeri Balikpapan
27,Politeknik Negeri Madura
31,Politeknik Maritim Negeri Indonesia
59,Politeknik Negeri Banyuwangi
66,Politeknik Negeri Madiun
21,Politeknik Negeri Fakfak
56,Politeknik Negeri Sambas
34,Politeknik Negeri Tanah Laut
11,Politeknik Negeri Subang
56,Politeknik Negeri Ketapang
34,Politeknik Negeri Cilacap
33,Politeknik Negeri Indramayu
0,Akademi Komunitas Negeri Pacitan
0,Akademi Komunitas Negeri Putra Sang Fajar Blitar
0,Akademi Komunitas Negeri Aceh Barat
309,Universitas Islam Sumatera Utara
364,Universitas HKBP Nommensen
536,Universitas Muhammadiyah Sumatera Utara
284,Universitas Pembangunan Panca Budi
158,Universitas Simalungun
168,Universitas Methodist Indonesia
181,Universitas Darma Agung
208,Universitas Medan Area
161,Universitas Katolik Santo Thomas
65,Universitas Amir Hamzah
53,Universitas Sisingamangaraja XII
127,Universitas Dharmawangsa
0,Universitas Karo
148,Universitas Muhammadiyah Tapanuli Selatan
242,Universitas Graha Nusantara
142,Universitas Asahan
97,Universitas Alwashliyah
64,Universitas Sisingamangaraja XII Tapanuli Utara
0,Universitas Samudra Langsa
105,Universitas Pembinaan Masyarakat Indonesia
66,Universitas Al-azhar
281,Universitas Muslim Nusantara Al-Washliyah
23,Universitas Islam Labuhan Batu
126,Universitas Tjut Nyak Dhien
0,Universitas Tri Karya
362,Universitas Prima Indonesia
0,Universitas Preston Indonesia
29,Universitas Dian Nusantara
30,Universitas Setia Budi Mandiri
59,Universitas Al Washliyah
123,Universitas Quality
48,Universitas Sutomo
40,Universitas Pelita Harapan Medan
59,Universitas Efarina
200,Universitas Sari Mutiara Indonesia Medan
200,Universitas Potensi Utama
37,Universitas Nahdlatul Ulama Sumatera Utara
3,Universitas Quality Berastagi
188,Universitas Harapan Medan
0,Universitas HKBP Nommensen Pematangsiantar
55,IKIP Gunung Sitoli
104,Institut Teknologi Medan
54,Institut Sains Dan Teknologi Td Pardede
61,Institut Teknologi Del 
137,Institut Kesehatan Helvetia
48,Institut Kesehatan Deli Husada Deli Tua
74,Institut Kesehatan Medistra Lubuk Pakam
88,Institut Pendidikan Tapanuli Selatan
56,Institut Bisnis Informasi Teknologi dan Bisnis
4,Sekolah Tinggi Hukum YNI
58,STKIP Riama
8,Sekolah Tinggi Ilmu Ekonomi Swadaya Medan
12,Sekolah Tinggi Bahasa Asing Swadaya Medan
8,Sekolah Tinggi Ilmu Hukum Swadaya
0,Sekolah Tinggi Ilmu Ekonomi Harapan
0,Sekolah Tinggi Bahasa Asing Harapan
0,Sekolah Tinggi Teknik Harapan
0,STKIP Teladan Medan
6,Sekolah Tinggi Ilmu Hukum Benteng Huraba
12,Sekolah Tinggi Ilmu Ekonomi Nusa Bangsa
27,Sekolah Tinggi Olahraga Dan Kesehatan Bina Guna
0,Sekolah Tinggi Teologi HKBP
21,Sekolah Tinggi Ilmu Ekonomi Pelita Bangsa
81,STKIP Pelita Bangsa
73,STKIP Budi Daya
13,Sekolah Tinggi Ilmu Ekonomi Al-Washliyah
0,STKIP Tapanuli Selatan
2,Sekolah Tinggi Pertanian Benteng Huraba
0,Sekolah Tinggi Ilmu Manajemen Medan
8,Sekolah Tinggi Teknologi Immanuel
11,Sekolah Tinggi Ilmu Komunikasi Pembangunan
17,Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Asahan
0,Sekolah Tinggi Teknik Pelita Bangsa
10,Sekolah Tinggi Ilmu Ekonomi Mars
8,Sekolah Tinggi Ilmu Ekonomi Surya Nusantara
0,Sekolah Tinggi Pertanian Gunung Leuser
0,Sekolah Tinggi Ekonomi Teladan
11,Sekolah Tinggi Ilmu Hukum Muhammadiyah Kisaran
96,STMIK Budi Darma
114,STMIK Mikroskil
11,Sekolah Tinggi Ilmu Ekonomi Tricom
17,Sekolah Tinggi Ilmu Ekonomi Al-Hikmah
13,Sekolah Tinggi Ilmu Ekonomi Eka Prasetya
21,Sekolah Tinggi Ilmu Ekonomi Graha Kirana
5,Sekolah Tinggi Ilmu Hukum Graha Kirana
10,Sekolah Tinggi Ilmu Hukum Al-hikmah
9,Sekolah Tinggi Ilmu Ekonomi Indonesia Medan
6,STMIK Sisingamangaraja XII
36,Sekolah Tinggi Ilmu Ekonomi Labuhan Batu
57,Sekolah Tinggi Ilmu Ekonomi IBBI
7,Sekolah Tinggi Ilmu Ekonomi Y P Kampus
19,Sekolah Tinggi Ilmu Ekonomi LMII
0,Sekolah Tinggi Teknik Graha Kirana
3,Sekolah Tinggi Ilmu Ekonomi Riama
47,STKIP Labuhan Batu
12,Sekolah Tinggi Ilmu Pertanian Labuhan Batu
21,Sekolah Tinggi Ilmu Hukum Labuhan Batu
25,Sekolah Tinggi Ilmu Manajemen Sukma
36,Sekolah Tinggi Ilmu Ekonomi Sultan Agung
21,Sekolah Tinggi Ilmu Ekonomi Pembangunan
8,Sekolah Tinggi Filsafat Theologi S Nusantara
20,Sekolah Tinggi Ilmu Ekonomi ITMI Medan
0,Sekolah Tinggi Ilmu Ekonomi Gunung Leuser
0,Sekolah Tinggi Ilmu Kesehatan Mutiara Indonesia
0,STKIP Gunung Leuser
15,Sekolah Tinggi Perikanan Sibolga
40,Sekolah Tinggi Ilmu Ekonomi Bina Karya
6,Sekolah Tinggi Ilmu Bahasa Asing ITMI Medan
27,STIE IBMI Medan
1,Sekolah Tinggi Kelautan Dan Perikanan Indonesia
0,Sekolah Tinggi Ilmu Kesehatan Helvetia
0,Sekolah Tinggi Ilmu Kesehatan Medistra
0,Sekolah Tinggi Ilmu Kesehatan Deli Husada
20,STMIK Time
27,Sekolah Tinggi Ilmu Kesehatan Sumatera Utara
47,STMIK Logika
47,Sekolah Tinggi Teknik Poliprofesi
34,STMIK IBBI
0,STMIK Potensi Utama
31,STMIK Kaputama
21,Sekolah Tinggi Teknologi Sinar Husni
15,Sekolah Tinggi Ilmu Kesehatan Binalita Sudama
0,Sekolah Tinggi Ilmu Teknik Gunung Leuser
2,STMIK ITMI Medan
49,STIPER Agrobisnis Perkebunan
17,STIE Akuntansi Dan Bisnis Internasional
38,STIKES Santa Elisabeth Medan
30,STIKES Putra Abadi Langkat
0,STIE Informasi Teknologi Dan Bisnis
51,STMIK Pelita Nusantara Medan
27,Sekolah Tinggi Ilmu Komputer Medan
24,STIE Nias Selatan
51,STKIP Nias Selatan
12,STMIK Kristen Neumann Indonesia
0,Sekolah Tinggi Ilmu Hukum Indonesia Medan
56,STMIK Triguna Dharma
36,Stba Persahabatan Internasional Asia
0,Sekolah Tinggi Ilmu Ekonomi Sutomo Deli Serdang
27,Sekolah Tinggi Ilmu Kesehatan RS Haji Medan
36,Sekolah Tinggi Ilmu Kesehatan Flora
30,STIE Professional Manajemen College Indonesia
20,STIE Mikroskill
0,STIKES Adiwangsa Tebing Tinggi
20,STIKES Nauli Husada
2,STKIP Barus Tapanuli Tengah
46,STIKES Aufa Royhan
71,Sekolah Tinggi Manajemen Informatika dan Komputer Royal
16,STIKES Widya Husada Medan 
67,Sekolah Tinggi Kesehatan Imelda 
2,STIKES Syuhada di Padangsidimpuan
9,Sekolah Tinggi Ilmu Hukum Nias Selatan
13,S.T. Manajemen Bisnis Multi Sarana Manajemen Administrasi dan Rekayasa Teknologi
14,STIKES Nurliana Medan
16,STIKOM Tunas Bangsa 
9,STMIK Methodist Binjai
5,STIKES Sakinah Husada Tanjung Balai
4,STIKES Darmais Padangsidimpuan
35,STIKES Senior Medan
15,STIKES Siti Hajar
6,Sekolah Tinggi Ilmu Ekonomi Profesional Indonesia
0,STKIP Pangeran Antasari
13,STIKES Murni Teguh
43,Sekolah Tinggi Ilmu Kesehatan Mitra Husada Medan
7,Akademi Perniagaan dan Perusahaan APIPSU Medan
0,Akademi Bank dan Keuangan Swadaya
0,Akademi Pertanian Gunung Sitoli
21,Akademi Maritim Indonesia Medan
9,Akademi Akuntansi YPK Medan
14,Akademi Pariwisata Dan Perhotelan Darma Agung
2,Akademi Sekretari Manajemen Maria Goreti
25,Akademi Teknik Indonesia Cut Meutia
0,Akademi Manajemen Gunung Leuser
23,Akademi Maritim Belawan
0,Akademi Teknologi Lorena
18,Akademi Sekretari Manajemen Cendana
0,Akademi Sekretari Manajemen Lancang Kuning
3,Akademi Pariwisata Taman Harapan
12,Akademi Teknologi Industri Immanuel
20,AMIK Medan Business Polytechnic
3,Akademi Manajemen Informatika Dan Komputer Itmi
2,Akademi Pariwisata Nusantara Medan
4,AMIK Parbina Nusantara
7,Akademi Farmasi Indah Deli Serdang
5,Akademi Kebidanan Nusantara 2000
5,Akademi Manajemen Informatika & Komputer Universal
9,AMIK Widya Loka Medan
10,AMIK Labuhan Batu
20,Akademi Manajemen Informatika Dan Komputer Logika
18,Akademi Kebidanan Sari Mutiara
29,Akademi Teknik Deli Serdang
34,Akademi Kebidanan Helvetia Medan
8,Akademi kebidanan Kholisatur Rahmi
0,Akademi Kebidanan Flora
0,Akademi Kebidanan Imelda
4,Akademi Kebidanan Bakti Inang Persada
7,AMIK Polibisnis Medan
12,Akademi Kebidanan Bina Husada Tebing Tinggi
19,Akademi Kebidanan Henderson
29,AMIK Stiekom Sumatera Utara
14,Akademi Kebidanan Darmo Medan
0,Akademi Keperawatan Nauli Husada
0,Akademi Kebidanan Nauli Husada
0,Akademi Kebidanan Rumah Sakit Haji Medan
9,Akademi Keperawatan Surya Nusantara
2,Akademi Manajemen Informatika & Komputer Multicom
8,Akademi Keperawatan Teladan Bahagia
10,Akademi Kebidanan Sehat Medan
0,Akademi Kebidanan Widya Husada
9,Akademi Manajemen Informatika Dan Komputer Medan
31,Akademi Manajemen Informatika dan Komputer Royal
10,Akademi Keperawatan Indah
10,Akademi Kebidanan Indah
27,AMIK Intel Com Global Indo Kisaran
6,Akademi Kebidanan Langkat
30,AMIK Tunas Bangsa
0,Akademi Kebidanan Jaya Wijaya
12,Akademi Kebidanan Sentral
99,Akademi Informatika Dan Komputer Medicom
17,Akademi Kebidanan Agatha
4,Akademi Keperawatan Pemkab Tapanuli Utara
0,Akademi Kebidanan Senior
0,Akademi Kesehatan Lingkungan Binalita Sudama
8,Akademi Refraksi Optisi Binalita Sudama
9,Akademi Keperawatan Binalita Sudama
5,Akademi Teknik Elektro Medik Binalita Sudama
6,Akademi Kebidanan Dewi Maya
6,Akademi Kebidanan Arta Kabanjahe
8,Akademi Pariwisata Medan Hotel School
9,Akademi Kebidanan Hisarma Medan
16,Akademi Keperawatan Helvetia Medan
8,Akademi Kebidanan Cipto Medan
9,Akademi Kebidanan Harapan Mama Deli Serdang
12,Akademi Keperawatan Darmo Medan
0,Akademi Keperawatan Imelda Medan
1,Akademi Kebidanan YYS Pendidikan Dr Rusdi Medan
0,Akademi Kebidanan Mitra Husada Medan
6,Akademi Kebidanan Hafsyah Medan
10,Akademi Kebidanan Ika Bina Labuhan Batu
6,Akademi Kebidanan Budi Mulia 
11,Akademi Kebidanan Sehati
3,Akademi Kebidanan Kesehatan Baru
0,Akademi Keperawatan Rumah Sakit Haji Medan
11,AKPER Gita Matura Abadi Kisaran
0,Akademi Keperawatan Flora
0,AMIK Harapan Medan
15,Akademik Kebidanan Armina Centre Panyabungan
21,Akademi Kebidanan Matorkis
7,Akademi Keuangan Dan Perbankan ICM Cantrika Mitra
7,Akademi Kebidanan Takasima Kabanjahe
13,Akademi Kebidanan Mitra Syuhada Padangsidimpuan
18,Akademi Kebidanan Namira Madina Panyabungan
12,Akademi Kebidanan Darmais Padangsidimpuan
7,Akademi Kebidanan Madina Husada
7,Akademi Kebidanan Ibtisam Aulia
5,Akademi Kebidanan Bina Daya Husada
10,Akademi Kebidanan Delima 
13,Akademi Kebidanan Baruna Husada Sibuhuan
5,Akademi Kebidanan Eunice Rajawali Binjai
14,Akademi Kebidanan As-Syifa Kisaran
13,Akademi Kebidanan Harapan Keluarga
6,Akademi Kebidanan Sari Husada
0,Akademi Akuntansi Profesional Indonesia
7,Akademi Keperawatan Arta Kaban Jahe
11,AKPER Tenaga Pembangunan Arjuna Laguboti
7,Akademi Kebidanan Palapa Husada
14,Akademi Perekam Medik Dan Infokes Imelda
7,Akademi Keperawatan Harapan Mama Deli Serdang
6,Akademi Kebidanan Paluta Husada
5,Akademi Keperawatan Columbia Asia
8,Akademi Keperawatan Bina Husada Tebing Tinggi
12,Akademi Keperawatan Sehat Binjai
13,Akademi Keperawatan Malahayati Medan
14,Akademi Kebidanan Kharisma Husada Binjai
5,Akademi Kebidanan Sifra Husada
13,Akademi Manajemen Informatika dan Komputer Imelda
5,Akademi Keperawatan Takasima Kabanjahe
10,Akademi Kebidanan Audi Husada Medan
12,Akademi Keperawatan RSU Herna
0,Akademi Fisioterapi Siti Hajar Medan
0,Akademi Kebidanan Bina Sejahtera Ameta
6,Akademi Keperawatan Abdi Florensia
11,Akademi Keperawatan Kesdam I/Bukit Barisan Pematang Siantar
9,Akademi Keperawatan Kesdam I/Bukit Barisan Binjai
15,Akademi Keperawatan Kesdam I/Bukit Barisan Medan
6,Akademi Farmasi Yayasan Tenaga Pembangunan Arjuna Laguboti
6,Akademi Keperawatan Sari Mutiara Medan
0,Akademi Analis Kesehatan Sari Mutiara 
0,Akademi Analis Farmasi dan Makanan Sari Mutiara  (alih  bina
0,Akademi Keperawatan Syuhada Padangsidempuan
3,Akademi Keperawatan HKBP Balige
5,Akademi Keperawatan Wirahusada Medan 
11,Akademi Kebidanan Deli Husada Delitua Medan
9,Akademi Keperawatan Deli Husada Delitua Medan
5,Akademi Keperawatan Medistra Lubuk Pakam 
7,Akademi Kebidanan Medistra Lubuk Pakam
3,Akademi Keperawatan Bas Balimbingan Pematang Siantar
1,ATRO Yayasan Amal Bhakti Medan
13,Akademi Pendidikan Kesehatan Talitakum
5,Akademi Keperawatan RSU Hisarma Medan
0,Politeknik Informatika Del Toba Samosir
48,Politeknik Unggul LP3M
32,Politeknik Ganesha
46,Politeknik Mandiri Bina Prestasi
18,Politeknik Profesional Mandiri
43,Politeknik Poliprofesi Medan
78,Politeknik LP3I Medan
23,Politeknik Tugu  45 Medan
28,Politeknik Santo Thomas
30,Politeknik Trijaya Krama
8,Politeknik Yanada
18,Politeknik Tanjungbalai
30,Politeknik Kesehatan YRSU Dr Rusdi
40,Politeknik IT&B Medan
22,Politeknik Bisnis Indonesia
0,Politeknik Gihon
25,Politeknik Wilmar Bisnis Indonesia
402,Universitas Muhammadiyah Palembang
60,Universitas Muhammadiyah Lampung
101,Universitas Sang Bumi Ruwa Jurai
190,Universitas Muhammadiyah Metro
173,Universitas Prof Dr Hazairin SH
95,Universitas Palembang
62,Universitas IBA
223,Universitas Tridinanti
303,Universitas Malahayati
294,Universitas Muhammadiyah Bengkulu
86,Universitas Tamansiswa
185,Universitas Bandar Lampung
108,Universitas Sjakhyakirti
63,Universitas Tulang Bawang
139,Universitas Baturaja
407,Universitas PGRI Palembang
109,Universitas Kader Bangsa
53,Universitas Ratu Samban
235,Universitas Bina Darma
0,Universitas Bangka Belitung
70,Universitas Megou Pak Tulang Bawang
53,Universitas Islam Ogan Komering Ilir Kayuagung
292,Universitas Dehasen Bengkulu
155,Universitas Indo Global Mandiri
67,Universitas Musi Rawas
74,Universitas Nahdlatul Ulama Lampung
105,Universitas Katolik Musi Charitas
166,Universitas Teknokrat Indonesia
122,Institut Informatika Dan Bisnis Darmajaya
18,Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Pringsewu
110,STKIP PGRI Lubuk Linggau
12,Sekolah Tinggi Ilmu Pertanian Surya Dharma
39,Sekolah Tinggi Ilmu Administrasi Bengkulu
73,STISIPOL Candradimuka
23,Sekolah Tinggi Ilmu Pertanian Dharma Wacana
35,STKIP PGRI Metro
21,Sekolah Tinggi Ilmu Ekonomi Pertiba
35,STKIP Muhammadiyah Kotabumi
67,STKIP Muhammadiyah Pringsewu
13,Sekolah Tinggi Ilmu Hukum Pertiba Pangkalpinang
101,STKIP PGRI Bandar Lampung
0,Sekolah Tinggi Teknik Musi
0,STIE Sultan Mahmud Badaruddin
15,Sekolah Tinggi Ilmu Ekonomi Ragam Tunas
22,Sekolah Tinggi Ilmu Pertanian Sriwigama
0,Sekolah Tinggi Ilmu Pertanian Bumi Silampari
22,Sekolah Tinggi Ilmu Ekonomi Aprin
18,Sekolah Tinggi Ilmu Manajemen Amkop
17,STISIPOL Dharma Wacana
8,Sekolah Tinggi Perkebunan Lampung
14,Sekolah Tinggi Ilmu Ekonomi Serasan Muara Enim
35,Sekolah Tinggi Ilmu Hukum Sumpah Pemuda
31,Sekolah Tinggi Ilmu Ekonomi Serelo Lahat
32,Sekolah Tinggi Teknologi Nusantara Lampung
47,Sekolah Tinggi Ilmu Ekonomi Trisna Negara
71,STKIP Dharma Wacana
11,Sekolah Tinggi Bahasa Asing Yunisla Bandar Lampung
12,Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Kalianda
22,STMIK Tunas Bangsa
9,Sekolah Tinggi Ilmu Hukum Serasan Muara Enim
8,Sekolah Tinggi Ilmu Teknik Serasan
21,Sekolah Tinggi Ilmu Ekonomi Prasetiya Mandiri Lampung
9,STIPSI Widya Dharma
26,Sekolah Tinggi Ilmu Ekonomi Mulia Darma Pratama
10,Sekolah Tinggi Ilmu Ekonomi Dwi Sakti Baturaja
40,Sekolah Tinggi Ilmu Ekonomi Rahmaniyah
44,Sekolah Tinggi Ilmu Ekonomi Musi Rawas
35,Sekolah Tinggi Ilmu Ekonomi Satu Nusa
16,Sekolah Tinggi Bahasa Asing Methodist
0,Sekolah Tinggi Ilmu Ekonomi Musi
0,Sekolah Tinggi Bahasa Asing Teknokrat
14,Sekolah Tinggi Ilmu Hukum Muhammadiyah Kotabumi
5,STIKESMAS Widya Dharma Palembang
25,Sekolah Tinggi Ilmu Administrasi Satya Negara
2,Sekolah Tinggi Bahasa Asing Widya Dharma Palembang
11,Sekolah Tinggi Ilmu Hukum Rahmaniyah
93,Sekolah Tinggi Ilmu Kesehatan Bina Husada
22,Sekolah Tinggi Ilmu Ekonomi Prabumulih
16,STIE IBEK Pangkalpinang Bangka
32,STKIP Muhammadiyah Pagaralam
17,Sekolah Tinggi Ilmu Ekonomi Lembah Dempo
33,STMIK Surya Intan
17,STMIK Dharma Wacana
14,STIKESMAS Nusantara
21,STMIK Prabumulih
9,Sekolah Tinggi Ilmu Teknik Prabumulih
14,Sekolah Tinggi Ilmu Ekonomi Abdi Nusa
11,STIKESMAS Abdi Nusa
9,Sekolah Tinggi Ilmu Hukum Muhammadiyah Kalianda
0,Sekolah Tinggi Ilmu Ekonomi Bina Warga
32,Sekolah Tinggi Ilmu Ekonomi Mitra Lampung
24,Sekolah Tinggi Ilmu Pertanian Belitang
29,STMIK Mitra Lampung
59,Sekolah Tinggi Ilmu Kesehatan Mitra Lampung
76,STIKES Tri Mandiri Sakti Bengkulu
5,STIPSI Abdi Nusa
16,Sekolah Tinggi Ilmu Kesehatan Abdi Nusa
14,Sekolah Tinggi Ilmu Kesehatan Al Ma arif
20,Sekolah Tinggi Ilmu Maritim Mutiara Jaya
25,Sekolah Tinggi Ilmu Farmasi Bhakti Pertiwi
50,STMIK Global Informatika Mdp
0,STKIP Sera
0,STMIK Teknokrat
13,Sekolah Tinggi Ilmu Ekonomi Lampung Timur
28,Sekolah Tinggi Ilmu Teknik Trisula
23,STIKES Bhakti Husada Bengkulu
11,Sekolah Tinggi Ilmu Pertanian Rejang Lebong
8,STMIK Muara Dua
19,STIA & Pemerintahan Annisa Dwi Salfarizi
42,STMIK Musi Rawas
63,Sekolah Tinggi Ilmu Kesehatan Siti Khadijah
10,STIKES Pembina Palembang
17,Sekolah Tinggi Ilmu Kesehatan Fitrah Aldar
22,Sekolah Tinggi Ilmu Ekonomi Gentiaras
0,Sekolah Tinggi Ilmu Kesehatan Perdhaki Charitas
25,Sekolah Tinggi Teknologi Pagaralam
28,STMIK Palcomtech
51,STIKES Muhammadiyah Palembang
19,STISIPOL Pahlawan 12
22,STMIK Bina Nusantara Jaya Lubuk Linggau
43,STKIP Nurul Huda di Sukaraja
92,STMIK Pringsewu
0,Sekolah Tinggi Ilmu Kesehatan Dehasen
30,Sekolah Tinggi Ilmu Kesehatan Mitra Adiguna
37,STMIK Dian Cipta Cendikia Kotabumi
20,STIE Multi Data Palembang
49,STIKES Muhammadiyah Pringsewu
13,Sekolah Tinggi Ilmu Kesehatan Permata Nusantara
34,STIKES Aisyah Pringsewu
20,STIKES Citra Delima Bangka Belitung
56,STMIK Atma Luhur
22,STKIP Al Islam Tunas Bangsa
33,STKIP Muhammadiyah Bangka Belitung
0,STIE Prakarti Mulya
29,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Kumala Lampung
5,STISIP Bina Marta
32,STIKES Aisyiyah Palembang
17,STMIK MBC Palembang
10,STKIP Tunas Palapa
16,STIA Bala Putra Dewa
5,Sekolah Tinggi Ilmu Ekonomi Krakatau
0,Sekolah Tinggi Teknologi Bengkulu
0,Akademi Akuntansi Sjakhyakirti
12,Akademi Sekretari Dan Manajemen Sriwijaya
24,AMIK Sigma
9,Akademi Pariwisata Satu Nusa
0,Akademi Manajemen Informatika & Komputer Starteck
7,Akademi Akuntansi Lampung
19,AMIK Mitra Lampung
0,Akademi Akuntansi Unggulan SMB Palembang
13,Akademi Perikanan Bhima Sakti
9,Akademi Bahasa Asing Dian Cipta Cendikia 
0,Akademi Akuntansi Bhakti
0,Akademi Pariwisata Widya Dharma
23,Akademi Akuntansi Dan Manajemen Mitra Lampung
33,AMIK Master Lampung
5,Akademi Analis Kesehatan Widya Dharma
52,AMIK Dian Cipta Cendikia
11,Apikes Widya Dharma
7,Akademi Keuangan Dan Bank Mulia Darma Pratama
13,Akademi Manajemen Informatika Dan Komputer Lampung
0,Akademi Sains Dan Teknologi Pembangunan
0,AMIK Teknokrat
10,Akd Teknik Radiodiag. Dan Radioterapi Widya Dharma
11,Akademi Manajemen Belitung
9,AMIK Lembah Dempo
14,Akademi Manajemen Informatika Dan Komputer Mdp
8,Akademi Bahasa Asing Bina Insan Indonesia
0,Akademi Perikanan Wachyuni Mandira
0,AMIK Atma Luhur
45,AMIK AKMI
7,Akademi Perpajakan Tridarma
10,Akademi Kebidanan Wira Buana
9,Akademi Analis Kesehatan Harapan Bangsa
0,Akademi Kebidanan Aisyiyah Palembang
27,Akademi Kebidanan Budi Mulia Palembang
9,Akademi Maritim Bina Bahari
13,Akademi Kebidanan Panca Bhakti
16,AKTEK Radiodiagnostik & Radioterapi Patriot Bangsa
7,Akademi Kebidanan Heppy Zal
8,Akademi Teknologi Pringsewu
15,Akademi Kebidanan Patriot Bangsa Husada
12,Akademi Kebidanan Nusantara Palembang
8,Akademi Kebidanan Hampar Baiduri
8,Akademi Keperawatan Malahayati Bandar Lampung
11,Akademi Keperawatan Baitul Hikmah
13,Akademi Keperawatan Panca Bhakti
12,Akademi Keperawatan Dharma Wacana
11,Akademi Keperawatan Bunda Delima
17,Akademi Kebidanan Al-Sua Ibah Palembang
21,Akademi Kebidanan Adila
6,Akademi Kebidanan Wahana Husada Bandar Jaya
0,Akademi Keperawatan Muhammadiyah Pringsewu
10,Akademi Kebidanan Persada Palembang
12,Akbid Gemilang Husada Kotabumi
7,Akademi Kebidanan Bangka Belitung
14,Akademi Kebidanan Rizki Patya
15,Akademi Kebidanan Manna
0,Akademi Kebidanan Muhammadiyah Pringsewu
15,Akademi Kebidanan Abdurahman
8,Akademi Kebidanan Tunas Harapan Bangsa
11,Akademi Kebidanan An-Nur Husada Walisongo
12,Akademi Kebidanan Nusantara Indonesia Lubuklinggau
9,Akademi Kebidanan Alifa Pringsewu Lampung
24,Akademi Farmasi Yayasan Al-Fatah
4,Akademi Kebidanan Sungailiat Bangka
27,AMIK Bina Sriwijaya
0,Akademi Kebidanan Dehasen Bengkulu
10,Akademi Kebidanan Bunga Bangsaku Bangka
3,Akademi Bahasa Asing Dian Cipta Cendikia Kotabumi
13,Akademi Kebidanan Rangga Husada Prabumulih
11,Akademi Kebidanan Pondok Pesantren Assanadiyah
